id,source_type,text,suggested_label,label,human_overrode
rnba_001,post,"Over the last 10 NBA Finals, 7 champions ranked top-5 in net rating during the regular season. The narrative that the regular season does not matter ignores how strongly sustained dominance predicts playoff success. Only the 2011 Mavs and 2006 Heat won titles from outside the top 5 in the last 20 years.",analysis,analysis,False
rnba_002,post,"The 3-point revolution is usually framed as a volume story, but the more interesting number is corner 3-point frequency. Corner threes went from roughly 3% of all field goal attempts in 2009-10 to about 8% by 2022-23. The geometry of the corner is what drove the specific shape of modern offense, not just Steph chucking from deep.",analysis,analysis,False
rnba_003,post,"Jokic's true shooting percentage this season is 66.8% on enormous volume. Most All-Star-caliber centers with similar usage land in the 58-62% range. What separates him is not just shot selection — his free throw rate (FTr of 0.41) means he is drawing fouls at a guard's rate from a center position, which compounds the efficiency advantage.",analysis,analysis,False
rnba_004,comment,"Teams that held opponents under 110 points per 100 possessions in the playoffs have won 8 of the last 10 championships. The narrative that offense wins titles now is partially true, but the teams that win it all almost always have both an elite offense and a top-10 defensive rating. Pure offensive teams without defensive identity rarely make it through four rounds.",analysis,analysis,False
rnba_005,post,"Home court advantage in 7-game series is underrated. Historical playoff data shows the home team wins roughly 63% of individual games. In Game 7s that jumps to about 77%. The Golden State dynasty was partly a story about Oracle Arena — they rarely faced elimination games on the road, which inflates how dominant they looked compared to teams that had to grind through hostile environments.",analysis,analysis,False
rnba_006,post,"LeBron's statistical longevity is genuinely unprecedented. He has averaged 25+ points per game for 20 consecutive seasons. Jordan did it for 12. Kareem for 14. If you want to argue GOAT status based on duration of elite performance rather than peak performance, LeBron's case is actually the strongest in history — that is in the box scores.",analysis,analysis,False
rnba_007,comment,"The 2015-2019 Warriors played a softer postseason schedule than the 2000s Spurs by a fairly significant margin. The West was weaker in that period — fewer teams with top-10 net ratings. The Spurs' five titles were built against consistently tougher competition, and that does not show up when people compare ring counts.",analysis,analysis,False
rnba_008,post,"Counterintuitive: mid-range shots are not as inefficient as the analytics community claims for elite shooters. The average mid-range generates about 0.85 PPP. A corner 3 generates about 1.08 PPP. That gap is real. But for a player shooting 52%+ on mid-range attempts, the efficiency reaches 1.04 PPP — close enough that the threat value shifts the calculus further.",analysis,analysis,False
rnba_009,comment,"Embiid's regular season production is undeniable — 33 and 11 this season — but his availability over his career sits around 61% of possible games. Centers who won Finals MVPs in the last decade averaged 78%+ availability in their championship runs. There is a real question about whether peak numbers matter as much as sustained availability for winning titles.",analysis,analysis,False
rnba_010,post,"Post-up frequency dropped from roughly 9% of possessions in 2012 to under 4% in 2023. It is a feedback loop: once perimeter shooting became baseline, defenses could not send help without giving up open threes. That made post situations harder to execute because the post player could not count on doubled coverage. The strategy became less viable because the surrounding context changed.",analysis,analysis,False
